Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2019-10-16,935.15,943.91,930.94,941.37,1026534743
2019-10-17,941.34,950.9,930.32,948.96,1007455928
2019-10-18,984.06,987.31,980.02,984.15,1211796845
2019-10-21,985.26,985.26,971.72,973.24,1083014872
2019-10-22,975.31,983.68,972.68,978.86,1187139410
2019-10-23,987.99,998.51,986.37,997.85,1615740581
2019-10-24,1004.47,1012.39,1000.52,1003.46,2127602327
2019-10-25,1002.72,1006.73,1000.43,1002.16,1117635106
2019-10-28,1003.85,1005.42,998.38,998.38,578000100
2019-10-30,989.21,996.66,985.04,986.92,1527526825
2019-10-31,989.2,992.01,981.72,984.69,1189829329
2019-11-01,986.9,988.14,976.79,984.63,1142301571
2019-11-04,992.67,1004.41,991.44,1000.88,1311522981
2019-11-05,1001.46,1006.94,998.48,1005.25,1540078867
2019-11-06,1006.72,1015.99,1003.68,1011.44,1570209116
2019-11-07,1018.12,1035.44,1018.12,1035.44,1762794410
2019-11-08,1034.46,1040.18,1030.21,1031.53,1731967176
2019-11-11,1029.22,1038.41,1023.69,1031.18,1414867815
2019-11-12,1034.52,1044.28,1034.52,1039.72,1947584710
2019-11-13,1040.5,1050.25,1036.82,1048.28,1640443355
