Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2016-02-26,485.23,494.2,481.1,485.1
2016-02-29,485.25,499.27,485.13,494.3
2016-03-01,494.34,522.57,493.9,517.58
2016-03-02,513.32,521.87,509.63,518.18
2016-03-03,516.21,541.98,513.1,539.6
2016-03-04,537.06,561.73,535.05,556.48
2016-03-07,557.35,578.6,552.65,577.9
2016-03-08,576.65,580.74,558.1,559.35
2016-03-09,559.95,570.68,549.75,566.2
2016-03-10,564.6,574.49,558.64,571.9
2016-03-11,570.7,584.61,569.2,577.68
2016-03-14,575.1,576.95,565.53,570
2016-03-15,569.2,570.78,559.15,567.85
2016-03-16,568,584.4,563.88,581.2
2016-03-17,580.5,596.83,578.3,595.95
2016-03-18,593.6,596.3,584.6,589.5
2016-03-21,591.03,603.03,584.88,599.6
2016-03-22,602.45,607.11,598.4,605
2016-03-23,605.5,606.13,580.23,583
2016-03-24,584.25,586.2,571.75,573.45
2016-03-28,574,584.15,565.78,568.75
2016-03-29,568.85,578.68,559.9,577.38
2016-03-30,575.75,578.85,563.85,564.43
2016-03-31,567.2,574.85,562.58,563.8
2016-04-01,564.95,574.53,557.45,564.81
2016-04-04,564.5,564.5,550.3,551.05
2016-04-05,551.15,559.3,543.6,546
2016-04-06,546.7,555.3,537.55,541.73
2016-04-07,542.93,544.6,533.4,536.41
2016-04-08,536.1,543.25,534.9,539.5
2016-04-11,539.45,552.95,539.45,547.38
2016-04-12,547.45,554.68,541.35,546.75
2016-04-13,547,549.75,538.2,544.57
2016-04-14,545.6,561.75,536.95,561.55
2016-04-15,564.5,569.45,558,567.88
2016-04-18,569.6,570.07,562.25,565.65
2016-04-19,566.79,586.1,563.55,583.75
2016-04-20,583.23,598.69,580.73,595.09
2016-04-21,594.67,614.57,592.02,605.82
2016-04-22,605.82,617.57,602.08,605.18
2016-04-25,599.75,608.43,595.31,603.97
2016-04-26,604.449,609.7,593.96,604
2016-04-27,603.75,612.45,598.85,610.55
2016-04-28,610.6,626.06,606.57,623.48
2016-04-29,623.1,634.95,622.7,627.5
2016-05-02,624.3,630.11,618.95,619.92
2016-05-03,619.83,625.1,600.43,606.17
2016-05-04,606.92,608.48,594.4,599.5
2016-05-05,598.37,608.1,596.91,599.25
2016-05-06,599.34,607.98,598,606.42
2016-05-09,605,606.45,580,583.92
2016-05-10,587.3,596.32,577.28,594.9
2016-05-11,594.76,610.36,593.4,608.5
2016-05-12,608.84,611.91,594.25,595.07
2016-05-13,594.4,600.86,589.7,591.52
2016-05-16,591,597.6,590,590.58
2016-05-17,592.25,595.37,582.2,585.67
2016-05-18,584.58,586.02,573.47,573.95
2016-05-19,573.8,577.48,558.31,559.05
2016-05-20,558.15,566.23,557.09,558.27
2016-05-23,561.32,561.5,549.68,551.45
2016-05-24,551.5,551.75,533.45,533.48
2016-05-25,532.1,539.32,524.99,533.47
2016-05-26,534.46,546.25,532.17,543.34
2016-05-27,544.43,550.74,533.9,534.15
2016-05-30,536.73,542.2,532.35,542.08
2016-05-31,542.07,549.48,539.28,546.92
2016-06-01,546.93,550.05,542.5,546.08
